SN,Institution,Region
0," Government College of Engineering, Amravati",Amravati
1," Sant Gadge Baba Amravati University,Amravati",Amravati
2," Government College of Engineering,Yavatmal",Amravati
3," Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati
4," Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati
5," P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati
6," Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati
7," Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati
8," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Amravati
9," Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati
10," Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati
11," Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Amravati
12," Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati
13," Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati
14," Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati
15," Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati
16," Prof Ram Meghe College of Engineering and Management, Badnera",Amravati
17," Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Amravati
18," Sanmati Engineering College, Sawargaon Barde, Washim",Amravati
19," Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Amravati
20," Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati
21," Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Amravati
22," Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Amravati
23," Government College of Engineering, Aurangabad",Aurangabad
24," Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad
25," University Department of Chemical Technology, Aurangabad",Aurangabad
26," Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Aurangabad
27," Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad
28," G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad
29," Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad
30," Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Aurangabad
31," Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad
32," Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad
33," M.S. Bidve Engineering College, Latur",Aurangabad
34," Terna Public Charitable Trust's College of Engineering, Osmanabad",Aurangabad
35," Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad
36," Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad
37," Peoples Education Society's College of Engineering, Aurangabad",Aurangabad
39," Aditya Engineering College , Beed",Aurangabad
40," Nagnathappa Halge Engineering College, Parli, Beed",Aurangabad
41," Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad
42," Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad
43," Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad
44," Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Aurangabad
45," Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad
46," Vilasrao Deshmukh Foundation Group of Institutions, Latur",Aurangabad
47, International Centre Of Excellence In Engineering and Management (ICEEM),Aurangabad
48, STMEI's Sandipani Technical Campus,Aurangabad
49," CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad
50," Gramin College of Engineering, Vishnupuri, Nanded",Aurangabad
51," Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai
52," Sardar Patel College of Engineering, Andheri",Mumbai
53," Dr. Babasaheb Ambedkar Technological University, Lonere",Mumbai
54," Usha Mittal Institute of Technology SNDT Women's University, Mumbai",Mumbai
55," Institute of Chemical Technology, Matunga, Mumbai",Mumbai
56," Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai
57," Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai
58," Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai
59," Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Mumbai
60," Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai
61," Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai
62," M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai
63," Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai
64," Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai
65, Anjuman,Mumbai
66," Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai
67," Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai
68," N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai
69," Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai
70," Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mumbai
71," Terna Engineering College, Nerul, Navi Mumbai",Mumbai
72," Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai
73," Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai
74," Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai
75," Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai
76," Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai
77," Konkan Gyanpeeth College of Engineering, Karjat",Mumbai
78," Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai
79," Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Mumbai
80," Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai
81, Rajendra Mane College of Engineering & Technology Ambav Deorukh,Mumbai
82," Atharva College of Engineering,Malad(West),Mumbai",Mumbai
83," St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
84," S.S.P.M.'s College of Engineering, Kankavli",Mumbai
85," Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai
86," Don Bosco Institute of Technology, Mumbai",Mumbai
87," K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai
88," Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Mumbai
