COLLEGE,REGION
" Government College of Engineering, Amravati",Amravati
" Sant Gadge Baba Amravati University,Amravati",Amravati
" Government Engineering College, Yavatmal",Amravati
" Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati
" Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati
" P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati
" Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati
" Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati
" Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Amravati
" Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati
" Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati
" Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Amravati
" Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati
" Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati
" Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati
" Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati
" Prof Ram Meghe College of Engineering and Management, Badnera",Amravati
" Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",Amravati
" Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Amravati
" P. R. Pote Patil Institute of Engineering & Research, At Kathora, Amravati",Amravati
" Sanmati Engineering College, Sawargaon Barde, Washim",Amravati
" Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Amravati
" Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati
" Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Amravati
" Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Amravati
" Government College of Engineering, Aurangabad",Aurangabad
" Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad
" University Department of Chemical Technology, Aurangabad",Aurangabad
" Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Aurangabad
" Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad
" G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad
" Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad
" Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Aurangabad
" Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad
" Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad
" M.S. Bidve Engineering College, Latur",Aurangabad
" Terna Public Charitable Trust's College of Engineering, Osmanabad",Aurangabad
" Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad
" M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",Aurangabad
" Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad
" Peoples Education Society's College of Engineering, Aurangabad",Aurangabad
" Hi-Tech Institute of Technology, Aurangabad",Aurangabad
" Aditya Engineering College , Beed",Aurangabad
" Nagnathappa Halge Engineering College, Parli, Beed",Aurangabad
" Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad
" Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad
" Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad
" Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Aurangabad
" Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad
" Vilasrao Deshmukh Foundation Group of Institutions, Latur",Aurangabad
" International Centre of Excellence in Engineering & Management, Aurangabad.",Aurangabad
 STMEI's Sandipani Technical Campus,Aurangabad
" V.J. Shinde College of Engineering, Osmanabad.",Aurangabad
" CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad
" Gramin College of Engineering, Vishnupuri, Nanded",Aurangabad
" Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai
" Sardar Patel College of Engineering, Andheri",Mumbai
" Dr. Babasaheb Ambedkar Technological University, Lonere",Mumbai
" Usha Mittal Institute of Technology SNDT Women's University, Mumbai",Mumbai
" Institute of Chemical Technology, Matunga, Mumbai",Mumbai
" Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai
" Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai
" Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai
" Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai",Mumbai
" M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai
" Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai
" K.J.Somaiya College of Engineering, Vidyavihar, Mumbai",Mumbai
" Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai
" Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai
" N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai
" Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai",Mumbai
" Bharati Vidyapeeth College of Engineering, Belpada, Kharghar, Navi Mumbai",Mumbai
" Terna Engineering College, Nerul, Navi Mumbai",Mumbai
" Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai
" Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai
" Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai
" Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai
" Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai
" Konkan Gyanpeeth College of Engineering, Karjat",Mumbai
" Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai
" Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Mumbai
" Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai
 Rajendra Mane College of Engineering & Technology Ambav Deorukh,Mumbai
" Atharva College of Engineering,Malad(West),Mumbai",Mumbai
" St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
" S.S.P.M.'s College of Engineering, Kankavli",Mumbai
" Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai
" Don Bosco Institute of Technology, Mumbai",Mumbai
" K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai
" S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai
" Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai
" Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai
" Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Mumbai
" Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai
" Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai
" Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Mumbai
" Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai
" Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai
" Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai
" Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post",Mumbai
" Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai
" G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai
" Universal College of Engineering,Kaman Dist. Palghar",Mumbai
" Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai
" A. P. Shah Institute of Technology, Thane",Mumbai
" Government College of Engineering, Chandrapur",Nagpur
" Laxminarayan Institute of Technology, Nagpur",Nagpur
" Government College of Engineering, Nagpur",Nagpur
" Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur
" Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur
" Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur
" Bapurao Deshmukh College of Engineering, Sevagram",Nagpur
" Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur
" Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur
" Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur
" Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Nagpur
" Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur
" Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur
" Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur
" Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur
