,Unnamed: 0,CollegeName,CourseName,Caste,CutOff,Year
0,0," Government College of Engineering, Amravati", Civil Engineering,GSCS,22798,2021
1,1," Government College of Engineering, Amravati", Civil Engineering,GSTS,48088,2021
2,2," Government College of Engineering, Amravati", Civil Engineering,GVJS,17483,2021
3,3," Government College of Engineering, Amravati", Civil Engineering,GNT1S,17926,2021
4,4," Government College of Engineering, Amravati", Civil Engineering,GNT2S,22831,2021
5,5," Government College of Engineering, Amravati", Civil Engineering,GNT3S,14822,2021
6,6," Government College of Engineering, Amravati", Civil Engineering,GOBCS,14638,2021
7,7," Government College of Engineering, Amravati", Civil Engineering,LOPENS,14417,2021
8,8," Government College of Engineering, Amravati", Civil Engineering,LSCS,25506,2021
9,9," Government College of Engineering, Amravati", Civil Engineering,LSTS,40879,2021
10,10," Government College of Engineering, Amravati", Civil Engineering,LVJS,17255,2021
11,11," Government College of Engineering, Amravati", Civil Engineering,LNT2S,22621,2021
12,12," Government College of Engineering, Amravati", Civil Engineering,LOBCS,18303,2021
13,13," Government College of Engineering, Amravati", Civil Engineering,DEFOPENS,35039,2021
14,14," Government College of Engineering, Amravati", Civil Engineering,TFWS,9631,2021
15,15," Government College of Engineering, Amravati", Civil Engineering,DEFROBCS,36639,2021
16,16," Government College of Engineering, Amravati", Civil Engineering,EWS,14097,2021
17,17," Government College of Engineering, Amravati", Computer Science and Engineering,GOPENS,4109,2021
18,18," Government College of Engineering, Amravati", Computer Science and Engineering,GSCS,10315,2021
19,19," Government College of Engineering, Amravati", Computer Science and Engineering,GSTS,32442,2021
20,20," Government College of Engineering, Amravati", Computer Science and Engineering,GVJS,13537,2021
21,21," Government College of Engineering, Amravati", Computer Science and Engineering,GNT1S,7607,2021
22,22," Government College of Engineering, Amravati", Computer Science and Engineering,GNT2S,8402,2021
23,23," Government College of Engineering, Amravati", Computer Science and Engineering,GNT3S,9385,2021
24,24," Government College of Engineering, Amravati", Computer Science and Engineering,GOBCS,4671,2021
25,25," Government College of Engineering, Amravati", Computer Science and Engineering,LOPENS,3952,2021
26,26," Government College of Engineering, Amravati", Computer Science and Engineering,LSCS,12391,2021
27,27," Government College of Engineering, Amravati", Computer Science and Engineering,LSTS,33669,2021
28,28," Government College of Engineering, Amravati", Computer Science and Engineering,LNT1S,13863,2021
29,29," Government College of Engineering, Amravati", Computer Science and Engineering,LNT2S,7216,2021
30,30," Government College of Engineering, Amravati", Computer Science and Engineering,LOBCS,4383,2021
31,31," Government College of Engineering, Amravati", Computer Science and Engineering,PWDOPENS,36709,2021
32,32," Government College of Engineering, Amravati", Computer Science and Engineering,DEFOPENS,12165,2021
33,33," Government College of Engineering, Amravati", Computer Science and Engineering,TFWS,3662,2021
34,34," Government College of Engineering, Amravati", Computer Science and Engineering,PWDRSCS,38936,2021
35,35," Government College of Engineering, Amravati", Computer Science and Engineering,DEFROBCS,16708,2021
36,36," Government College of Engineering, Amravati", Computer Science and Engineering,EWS,5821,2021
37,37," Government College of Engineering, Amravati", Information Technology,GOPENS,6194,2021
38,38," Government College of Engineering, Amravati", Information Technology,GSCS,16108,2021
39,39," Government College of Engineering, Amravati", Information Technology,GSTS,38361,2021
40,40," Government College of Engineering, Amravati", Information Technology,GVJS,13931,2021
41,41," Government College of Engineering, Amravati", Information Technology,GNT1S,10163,2021
42,42," Government College of Engineering, Amravati", Information Technology,GNT2S,11149,2021
43,43," Government College of Engineering, Amravati", Information Technology,GOBCS,6851,2021
44,44," Government College of Engineering, Amravati", Information Technology,LOPENS,6948,2021
45,45," Government College of Engineering, Amravati", Information Technology,LSCS,15699,2021
46,46," Government College of Engineering, Amravati", Information Technology,LSTS,28410,2021
47,47," Government College of Engineering, Amravati", Information Technology,LVJS,28682,2021
48,48," Government College of Engineering, Amravati", Information Technology,LNT3S,26192,2021
49,49," Government College of Engineering, Amravati", Information Technology,LOBCS,7926,2021
50,50," Government College of Engineering, Amravati", Information Technology,DEFOPENS,19427,2021
51,51," Government College of Engineering, Amravati", Information Technology,TFWS,5502,2021
52,52," Government College of Engineering, Amravati", Information Technology,DEFROBCS,20732,2021
53,53," Government College of Engineering, Amravati", Information Technology,EWS,7351,2021
54,54," Government College of Engineering, Amravati", Electrical Engineering,GOPENS,13652,2021
55,55," Government College of Engineering, Amravati", Electrical Engineering,GSCS,20262,2021
56,56," Government College of Engineering, Amravati", Electrical Engineering,GSTS,58904,2021
57,57," Government College of Engineering, Amravati", Electrical Engineering,GVJS,19003,2021
58,58," Government College of Engineering, Amravati", Electrical Engineering,GNT1S,23935,2021
59,59," Government College of Engineering, Amravati", Electrical Engineering,GNT2S,16140,2021
60,60," Government College of Engineering, Amravati", Electrical Engineering,GNT3S,33764,2021
61,61," Government College of Engineering, Amravati", Electrical Engineering,GOBCS,15448,2021
62,62," Government College of Engineering, Amravati", Electrical Engineering,LOPENS,15527,2021
63,63," Government College of Engineering, Amravati", Electrical Engineering,LSCS,20627,2021
64,64," Government College of Engineering, Amravati", Electrical Engineering,LSTS,22693,2021
65,65," Government College of Engineering, Amravati", Electrical Engineering,LNT1S,16635,2021
66,66," Government College of Engineering, Amravati", Electrical Engineering,LNT2S,24621,2021
67,67," Government College of Engineering, Amravati", Electrical Engineering,LOBCS,16892,2021
68,68," Government College of Engineering, Amravati", Electrical Engineering,DEFOPENS,48882,2021
69,69," Government College of Engineering, Amravati", Electrical Engineering,TFWS,9912,2021
70,70," Government College of Engineering, Amravati", Electrical Engineering,DEFRSCS,66643,2021
71,71," Government College of Engineering, Amravati", Electrical Engineering,EWS,13448,2021
72,72," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GOPENS,10626,2021
73,73," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GSCS,21248,2021
74,74," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GSTS,56884,2021
75,75," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GVJS,32694,2021
76,76," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GNT1S,14870,2021
77,77," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GNT2S,13855,2021
78,78," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GNT3S,28497,2021
79,79," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,GOBCS,11529,2021
80,80," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,LOPENS,11257,2021
81,81," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,LSCS,26749,2021
82,82," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,LSTS,50427,2021
83,83," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,LVJS,19954,2021
84,84," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,LOBCS,13435,2021
85,85," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,DEFOPENS,28266,2021
86,86," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,TFWS,9087,2021
87,87," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,DEFRSCS,53649,2021
88,88," Government College of Engineering, Amravati", Electronics and Telecommunication Engg,EWS,10882,2021
89,89," Government College of Engineering, Amravati", Instrumentation Engineering,GOPENS,21366,2021
90,90," Government College of Engineering, Amravati", Instrumentation Engineering,GSCS,41215,2021
91,91," Government College of Engineering, Amravati", Instrumentation Engineering,GVJS,82782,2021
92,92," Government College of Engineering, Amravati", Instrumentation Engineering,GNT3S,28873,2021
