ID,CollegeName,CourseName,Caste
1," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GOPENS
2," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GSCS
3," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GSTS
4," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GVJS
5," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GOBCS
6," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GNT1S
7," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,LOPENS
8," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,LSCS
9," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,LSTS
10," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,LVJS
11," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,LOBCS
12," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,LNT1S
49," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,GOPENS
50," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,GSCS
51," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,GSTS
52," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,GVJS
53," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,GOBCS
54," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,GNT1S
55," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,LOPENS
56," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,LSCS
57," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,LSTS
58," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,LVJS
59," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,LOBCS
60," Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,LNT1S
157," Government College of Engineering, Karad",Civil Engineering,GOPENS
158," Government College of Engineering, Karad",Civil Engineering,GSCS
159," Government College of Engineering, Karad",Civil Engineering,GSTS
160," Government College of Engineering, Karad",Civil Engineering,GVJS
161," Government College of Engineering, Karad",Civil Engineering,GOBCS
162," Government College of Engineering, Karad",Civil Engineering,GNT1S
163," Government College of Engineering, Karad",Civil Engineering,LOPENS
164," Government College of Engineering, Karad",Civil Engineering,LSCS
165," Government College of Engineering, Karad",Civil Engineering,LSTS
166," Government College of Engineering, Karad",Civil Engineering,LVJS
167," Government College of Engineering, Karad",Civil Engineering,LOBCS
168," Government College of Engineering, Karad",Civil Engineering,LNT1S
181," Government College of Engineering, Karad",Electrical Engineering,GOPENS
182," Government College of Engineering, Karad",Electrical Engineering,GSCS
183," Government College of Engineering, Karad",Electrical Engineering,GSTS
184," Government College of Engineering, Karad",Electrical Engineering,GVJS
185," Government College of Engineering, Karad",Electrical Engineering,GOBCS
186," Government College of Engineering, Karad",Electrical Engineering,GNT1S
187," Government College of Engineering, Karad",Electrical Engineering,LOPENS
188," Government College of Engineering, Karad",Electrical Engineering,LSCS
189," Government College of Engineering, Karad",Electrical Engineering,LSTS
190," Government College of Engineering, Karad",Electrical Engineering,LVJS
191," Government College of Engineering, Karad",Electrical Engineering,LOBCS
192," Government College of Engineering, Karad",Electrical Engineering,LNT1S
205," Government College of Engineering, Karad",Mechanical Engineering,GOPENS
206," Government College of Engineering, Karad",Mechanical Engineering,GSCS
207," Government College of Engineering, Karad",Mechanical Engineering,GSTS
208," Government College of Engineering, Karad",Mechanical Engineering,GVJS
209," Government College of Engineering, Karad",Mechanical Engineering,GOBCS
210," Government College of Engineering, Karad",Mechanical Engineering,GNT1S
211," Government College of Engineering, Karad",Mechanical Engineering,LOPENS
212," Government College of Engineering, Karad",Mechanical Engineering,LSCS
213," Government College of Engineering, Karad",Mechanical Engineering,LSTS
214," Government College of Engineering, Karad",Mechanical Engineering,LVJS
215," Government College of Engineering, Karad",Mechanical Engineering,LOBCS
216," Government College of Engineering, Karad",Mechanical Engineering,LNT1S
313," College of Engineering, Pune",Civil Engineering,GOPENS
314," College of Engineering, Pune",Civil Engineering,GSCS
315," College of Engineering, Pune",Civil Engineering,GSTS
316," College of Engineering, Pune",Civil Engineering,GVJS
317," College of Engineering, Pune",Civil Engineering,GOBCS
318," College of Engineering, Pune",Civil Engineering,GNT1S
319," College of Engineering, Pune",Civil Engineering,LOPENS
320," College of Engineering, Pune",Civil Engineering,LSCS
321," College of Engineering, Pune",Civil Engineering,LSTS
322," College of Engineering, Pune",Civil Engineering,LVJS
323," College of Engineering, Pune",Civil Engineering,LOBCS
324," College of Engineering, Pune",Civil Engineering,LNT1S
337," College of Engineering, Pune",Electrical Engineering,GOPENS
338," College of Engineering, Pune",Electrical Engineering,GSCS
339," College of Engineering, Pune",Electrical Engineering,GSTS
340," College of Engineering, Pune",Electrical Engineering,GVJS
341," College of Engineering, Pune",Electrical Engineering,GOBCS
342," College of Engineering, Pune",Electrical Engineering,GNT1S
343," College of Engineering, Pune",Electrical Engineering,LOPENS
344," College of Engineering, Pune",Electrical Engineering,LSCS
345," College of Engineering, Pune",Electrical Engineering,LSTS
346," College of Engineering, Pune",Electrical Engineering,LVJS
347," College of Engineering, Pune",Electrical Engineering,LOBCS
348," College of Engineering, Pune",Electrical Engineering,LNT1S
361," College of Engineering, Pune",Mechanical Engineering,GOPENS
362," College of Engineering, Pune",Mechanical Engineering,GSCS
363," College of Engineering, Pune",Mechanical Engineering,GSTS
364," College of Engineering, Pune",Mechanical Engineering,GVJS
365," College of Engineering, Pune",Mechanical Engineering,GOBCS
366," College of Engineering, Pune",Mechanical Engineering,GNT1S
367," College of Engineering, Pune",Mechanical Engineering,LOPENS
368," College of Engineering, Pune",Mechanical Engineering,LSCS
369," College of Engineering, Pune",Mechanical Engineering,LSTS
370," College of Engineering, Pune",Mechanical Engineering,LVJS
371," College of Engineering, Pune",Mechanical Engineering,LOBCS
372," College of Engineering, Pune",Mechanical Engineering,LNT1S
397," College of Engineering, Pune",Metallurgy and Material Technology,GOPENS
398," College of Engineering, Pune",Metallurgy and Material Technology,GSCS
399," College of Engineering, Pune",Metallurgy and Material Technology,GSTS
400," College of Engineering, Pune",Metallurgy and Material Technology,GVJS
401," College of Engineering, Pune",Metallurgy and Material Technology,GOBCS
402," College of Engineering, Pune",Metallurgy and Material Technology,GNT1S
403," College of Engineering, Pune",Metallurgy and Material Technology,LOPENS
404," College of Engineering, Pune",Metallurgy and Material Technology,LSCS
405," College of Engineering, Pune",Metallurgy and Material Technology,LSTS
406," College of Engineering, Pune",Metallurgy and Material Technology,LVJS
407," College of Engineering, Pune",Metallurgy and Material Technology,LOBCS
408," College of Engineering, Pune",Metallurgy and Material Technology,LNT1S
469," Walchand College of Engineering, Sangli",Civil Engineering,GOPENS
470," Walchand College of Engineering, Sangli",Civil Engineering,GSCS
471," Walchand College of Engineering, Sangli",Civil Engineering,GSTS
472," Walchand College of Engineering, Sangli",Civil Engineering,GVJS
473," Walchand College of Engineering, Sangli",Civil Engineering,GOBCS
474," Walchand College of Engineering, Sangli",Civil Engineering,GNT1S
475," Walchand College of Engineering, Sangli",Civil Engineering,LOPENS
476," Walchand College of Engineering, Sangli",Civil Engineering,LSCS
477," Walchand College of Engineering, Sangli",Civil Engineering,LSTS
478," Walchand College of Engineering, Sangli",Civil Engineering,LVJS
479," Walchand College of Engineering, Sangli",Civil Engineering,LOBCS
480," Walchand College of Engineering, Sangli",Civil Engineering,LNT1S
481," Walchand College of Engineering, Sangli",Computer Science and Engineering,GOPENS
482," Walchand College of Engineering, Sangli",Computer Science and Engineering,GSCS
483," Walchand College of Engineering, Sangli",Computer Science and Engineering,GSTS
484," Walchand College of Engineering, Sangli",Computer Science and Engineering,GVJS
485," Walchand College of Engineering, Sangli",Computer Science and Engineering,GOBCS
486," Walchand College of Engineering, Sangli",Computer Science and Engineering,GNT1S
