,ID,CollegeName,CourseName,Caste
0,1," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GOPENS
1,2," Government College of Engineering & Research, Avasari Khurd",Civil Engineering,GSCS
2,5," Government College of Engineering, Karad",Civil Engineering,GOPENS
3,6," Government College of Engineering, Karad",Civil Engineering,GSCS
4,9," College of Engineering, Pune",Civil Engineering,GOPENS
5,10," College of Engineering, Pune",Civil Engineering,GSCS
6,13," Walchand College of Engineering, Sangli",Civil Engineering,GOPENS
7,14," Walchand College of Engineering, Sangli",Civil Engineering,GSCS
8,15," Walchand College of Engineering, Sangli",Computer Science and Engineering,GOPENS
9,16," Walchand College of Engineering, Sangli",Computer Science and Engineering,GSCS
10,17," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GOPENS
11,18," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GSCS
12,21," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GOPENS
13,22," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GSCS
14,25," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Civil Engineering,GOPENS
15,26," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Civil Engineering,GSCS
16,33," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GOPENS
17,34," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GSCS
18,37," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GOPENS
19,38," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GSCS
20,45," MIT Academy of Engineering,Alandi, Pune",Civil Engineering,GOPENS
21,46," MIT Academy of Engineering,Alandi, Pune",Civil Engineering,GSCS
22,49," G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Civil Engineering,GOPENS
23,50," G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Civil Engineering,GSCS
24,57," JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Civil Engineering,GOPENS
25,58," JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Civil Engineering,GSCS
26,61," Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,GOPENS
27,62," Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,GSCS
28,65," G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Civil Engineering,GOPENS
29,66," G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Civil Engineering,GSCS
30,69," Sinhgad College of Engineering, Vadgaon (BK), Pune",Civil Engineering,GOPENS
31,70," Sinhgad College of Engineering, Vadgaon (BK), Pune",Civil Engineering,GSCS
32,77," Indira College of Engineering & Management, Pune",Civil Engineering,GOPENS
33,78," Indira College of Engineering & Management, Pune",Civil Engineering,GSCS
34,81," Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Civil Engineering,GOPENS
35,82," Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Civil Engineering,GSCS
36,85," K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Civil Engineering,GOPENS
